Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
SelectAudit: A Secure and Efficient Audit Framework for Networked Virtual Environments,"Collaborative Computing: Networking, Applications and Worksharing",,,,10.1007/978-3-642-03354-4_16,Tuan PhanDanfeng (Daphne) Yao,2009,http://link.springer.com/chapter/10.1007/978-3-642-03354-4_16,Chapter
Flexibility as a Service,Database Systems for Advanced Applications,,,,10.1007/978-3-642-04205-8_27,W. M. P. van der AalstM. AdamsA. H. M. ter HofstedeM. PesicH. Schonenberg,2009,http://link.springer.com/chapter/10.1007/978-3-642-04205-8_27,Chapter
Improving Data Availability for Better Access Performance: A Study on Caching Scientific Data on Distributed Desktop Workstations,Journal of Grid Computing,,7,4,10.1007/s10723-009-9122-7,Xiaosong MaSudharshan S. VazhkudaiZhe Zhang,2009,http://link.springer.com/article/10.1007/s10723-009-9122-7,Article
Introducing OSGi,Pro Spring Dynamic Modules for OSGi™ Service Platforms,,,,10.1007/978-1-4302-1613-1_1,,2009,http://link.springer.com/chapter/10.1007/978-1-4302-1613-1_1,Chapter
"A Taxonomy, Survey, and Issues of Cloud Computing Ecosystems",Cloud Computing,,,,10.1007/978-1-84996-241-4_2,Bhaskar Prasad RimalEunmi ChoiIan Lumb,2010,http://link.springer.com/chapter/10.1007/978-1-84996-241-4_2,Chapter
Developing In-House Applications,Enterprise iPhone and iPad Administrator’s Guide,,,,10.1007/978-1-4302-3010-6_7,Charles Edge,2010,http://link.springer.com/chapter/10.1007/978-1-4302-3010-6_7,Chapter
"A flexible, object-centric approach for business process modelling",Service Oriented Computing and Applications,,4,3,10.1007/s11761-010-0065-4,Guy ReddingMarlon DumasArthur H. M. ter HofstedeAdrian Iordachescu,2010,http://link.springer.com/article/10.1007/s11761-010-0065-4,Article
EAM Governance,Strategic IT Management,,,,10.1007/978-3-642-05034-3_6,Inge Hanschke,2010,http://link.springer.com/chapter/10.1007/978-3-642-05034-3_6,Chapter
Approximating Minimum Bending Energy Path in a Simple Corridor,Algorithms and Computation,,,,10.1007/978-3-642-17517-6_30,Jinhui XuLei XuYulai Xie,2010,http://link.springer.com/chapter/10.1007/978-3-642-17517-6_30,Chapter
Do You Get It? User-Evaluated Explainable BDI Agents,Multiagent System Technologies,,,,10.1007/978-3-642-16178-0_5,Joost BroekensMaaike HarbersKoen HindriksKarel van den BoschCatholijn JonkerJohn-Jules Meyer,2010,http://link.springer.com/chapter/10.1007/978-3-642-16178-0_5,Chapter
Survey of Storage and Fault Tolerance Strategies Used in Cloud Computing,Handbook of Cloud Computing,,,,10.1007/978-1-4419-6524-0_6,Kathleen EricsonShrideep Pallickara,2010,http://link.springer.com/chapter/10.1007/978-1-4419-6524-0_6,Chapter
Coordinated multimedia object replacement in transcoding proxies,The Journal of Supercomputing,,52,3,10.1007/s11227-009-0291-8,Keqiu LiYanming ShenKai LinWenyu Qu,2010,http://link.springer.com/article/10.1007/s11227-009-0291-8,Article
A Model for Space-Correlated Failures in Large-Scale Distributed Systems,Euro-Par 2010 - Parallel Processing,,,,10.1007/978-3-642-15277-1_10,Matthieu GalletNezih YigitbasiBahman JavadiDerrick KondoAlexandru IosupDick Epema,2010,http://link.springer.com/chapter/10.1007/978-3-642-15277-1_10,Chapter
pCFS vs. PVFS: Comparing a Highly-Available Symmetrical Parallel Cluster File System with an Asymmetrical Parallel File System,Euro-Par 2010 - Parallel Processing,,,,10.1007/978-3-642-15277-1_13,Paulo A. LopesPedro D. Medeiros,2010,http://link.springer.com/chapter/10.1007/978-3-642-15277-1_13,Chapter
Systems and Applications,Peer-to-Peer Computing,,,,10.1007/978-3-642-03514-2_9,Quang Hieu VuMihai LupuBeng Chin Ooi,2010,http://link.springer.com/chapter/10.1007/978-3-642-03514-2_9,Chapter
Reliable management of checkpointing and application data in opportunistic grids,Journal of the Brazilian Computer Society,,16,3,10.1007/s13173-010-0016-0,Raphael Y. de CamargoFernando CastorFabio Kon,2010,http://link.springer.com/article/10.1007/s13173-010-0016-0,Article
Frequency Agility in IPv6-Based Wireless Personal Area Networks (6LoWPAN),Wired/Wireless Internet Communications,,,,10.1007/978-3-642-13315-2_12,Riccardo TomasiHussein KhaleelFederico PennaClaudio PastroneRoberto GarelloMaurizio Spirito,2010,http://link.springer.com/chapter/10.1007/978-3-642-13315-2_12,Chapter
Using Values to Turn Agents into Characters,Agents and Artificial Intelligence,,,,10.1007/978-3-642-11819-7_22,Rossana DamianoVincenzo Lombardo,2010,http://link.springer.com/chapter/10.1007/978-3-642-11819-7_22,Chapter
iPhone for Work,,,,,10.1007/978-1-4302-2446-4,Ryan J. Faas,2010,http://link.springer.com/book/10.1007/978-1-4302-2446-4,Book
"Phone Home (Or Work, Clients, or Anyone Else)",iPhone for Work,,,,10.1007/978-1-4302-2446-4_4,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_4,Chapter
Contacts,iPhone for Work,,,,10.1007/978-1-4302-2446-4_8,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_8,Chapter
Web Browsing with Mobile Safari,iPhone for Work,,,,10.1007/978-1-4302-2446-4_11,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_11,Chapter
Understanding iPhone Applications and the App Store,iPhone for Work,,,,10.1007/978-1-4302-2446-4_15,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_15,Chapter
Apps for Specific Professions,iPhone for Work,,,,10.1007/978-1-4302-2446-4_17,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_17,Chapter
Getting Online,iPhone for Work,,,,10.1007/978-1-4302-2446-4_3,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_3,Chapter
Texting and Media Messaging for a Living,iPhone for Work,,,,10.1007/978-1-4302-2446-4_5,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_5,Chapter
Calendar,iPhone for Work,,,,10.1007/978-1-4302-2446-4_7,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_7,Chapter
Microsoft Exchange and ActiveSync,iPhone for Work,,,,10.1007/978-1-4302-2446-4_9,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_9,Chapter
Photos and Video,iPhone for Work,,,,10.1007/978-1-4302-2446-4_10,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_10,Chapter
General Business Applications,iPhone for Work,,,,10.1007/978-1-4302-2446-4_16,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_16,Chapter
Using Your iPhone for the First Time,iPhone for Work,,,,10.1007/978-1-4302-2446-4_2,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_2,Chapter
E-mail,iPhone for Work,,,,10.1007/978-1-4302-2446-4_6,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_6,Chapter
iPod and iTunes,iPhone for Work,,,,10.1007/978-1-4302-2446-4_13,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_13,Chapter
Buying and Activating Your iPhone,iPhone for Work,,,,10.1007/978-1-4302-2446-4_1,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_1,Chapter
Getting Around Using Maps,iPhone for Work,,,,10.1007/978-1-4302-2446-4_12,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_12,Chapter
The Remaining Built-In Apps,iPhone for Work,,,,10.1007/978-1-4302-2446-4_14,Ryan J. Faas,2010,http://link.springer.com/chapter/10.1007/978-1-4302-2446-4_14,Chapter
Aspects of Data-Intensive Cloud Computing,From Active Data Management to Event-Based Systems and More,,,,10.1007/978-3-642-17226-7_4,Sebastian FrischbierIlia Petrov,2010,http://link.springer.com/chapter/10.1007/978-3-642-17226-7_4,Chapter
An empirical comparative evaluation of requirements engineering methods,Journal of the Brazilian Computer Society,,16,1,10.1007/s13173-010-0003-5,Sergio EspañaNelly Condori-FernandezArturo GonzálezÓscar Pastor,2010,http://link.springer.com/article/10.1007/s13173-010-0003-5,Article
Data Life Time for Different Placement Policies in P2P Storage Systems,Data Management in Grid and Peer-to-Peer Systems,,,,10.1007/978-3-642-15108-8_7,Stéphane CaronFrédéric GiroireDorian MazauricJulian MonteiroStéphane Pérennes,2010,http://link.springer.com/chapter/10.1007/978-3-642-15108-8_7,Chapter
Rough Sets Approximations for Learning Outcomes,Ubiquitous Computing and Multimedia Applications,,,,10.1007/978-3-642-13467-8_7,Sylvia EnchevaSharil Tumin,2010,http://link.springer.com/chapter/10.1007/978-3-642-13467-8_7,Chapter
Verifying Security Property of Peer-to-Peer Systems Using CSP,Computer Security – ESORICS 2010,,,,10.1007/978-3-642-15497-3_20,Tien Tuan Anh DinhMark Ryan,2010,http://link.springer.com/chapter/10.1007/978-3-642-15497-3_20,Chapter
Differentiated Replication Strategy in Data Centers,Network and Parallel Computing,,,,10.1007/978-3-642-15672-4_24,Tung NguyenAnthony CutwayWeisong Shi,2010,http://link.springer.com/chapter/10.1007/978-3-642-15672-4_24,Chapter
P2P Agent Platform: Implementation and Testing,Agents and Peer-to-Peer Computing,,,,10.1007/978-3-642-11368-0_4,Vladimir GorodetskyOleg KarsaevVladimir SamoylovSergey Serebryakov,2010,http://link.springer.com/chapter/10.1007/978-3-642-11368-0_4,Chapter
Cost-aware caching schemes in heterogeneous storage systems,The Journal of Supercomputing,,56,1,10.1007/s11227-009-0342-1,Abhirup ChakrabortyAjit Singh,2011,http://link.springer.com/article/10.1007/s11227-009-0342-1,Article
event.Hub: An Event-Driven Information Hub for Mobile Devices,Ubiquitous Intelligence and Computing,,,,10.1007/978-3-642-23641-9_19,Adrian HornsbyTapani Leppanen,2011,http://link.springer.com/chapter/10.1007/978-3-642-23641-9_19,Chapter
Integrating Applications Developed for Heterogeneous Platforms: Building an Environment for Criminal Analysts,"Multimedia Communications, Services and Security",,,,10.1007/978-3-642-21512-4_3,Arkadiusz ŚwierczekRoman DębskiPiotr WłodekBartłomiej Śnieżyński,2011,http://link.springer.com/chapter/10.1007/978-3-642-21512-4_3,Chapter
Continuous Orientation Representation for Arbitrary Dimensions – A Generalized Knutsson Mapping,Image Analysis,,,,10.1007/978-3-642-21227-7_72,Bernd RiegerLucas J. van VlietPiet W. Verbeek,2011,http://link.springer.com/chapter/10.1007/978-3-642-21227-7_72,Chapter
A Knowledge-Based Framework for the Collaborative Improvisation of Scene Introductions,Interactive Storytelling,,,,10.1007/978-3-642-25289-1_10,Brian O’NeillAndreya PiplicaDaniel FullerBrian Magerko,2011,http://link.springer.com/chapter/10.1007/978-3-642-25289-1_10,Chapter
Implied Aesthetics: A Sensor-Based Approach towards Mobile Interfaces,"Design, User Experience, and Usability. Theory, Methods, Tools and Practice",,,,10.1007/978-3-642-21708-1_72,Daniel Sauter,2011,http://link.springer.com/chapter/10.1007/978-3-642-21708-1_72,Chapter
Confidant: Protecting OSN Data without Locking It Up,Middleware 2011,,,,10.1007/978-3-642-25821-3_4,Dongtao LiuAmre ShakimovRamón CáceresAlexander VarshavskyLandon P. Cox,2011,http://link.springer.com/chapter/10.1007/978-3-642-25821-3_4,Chapter
Image data compression using new halftoning operators and run length encoding,Thinkquest~2010,,,,10.1007/978-81-8489-989-4_38,Dr. H. B. KekreDr. M. U. KharatSanjay R. Sange,2011,http://link.springer.com/chapter/10.1007/978-81-8489-989-4_38,Chapter
Digital Storytelling for Competence Development,New Horizons in Web-Based Learning - ICWL 2010 Workshops,,,,10.1007/978-3-642-20539-2_5,Edgar SantosClaudia RibeiroManuel FradinhoJoão Pereira,2011,http://link.springer.com/chapter/10.1007/978-3-642-20539-2_5,Chapter
Private Discovery of Common Social Contacts,Applied Cryptography and Network Security,,,,10.1007/978-3-642-21554-4_9,Emiliano De CristofaroMark ManulisBertram Poettering,2011,http://link.springer.com/chapter/10.1007/978-3-642-21554-4_9,Chapter
Global ISR: Toward a Comprehensive Defense Against Unauthorized Code Execution,Moving Target Defense,,,,10.1007/978-1-4614-0977-9_3,Georgios PortokalidisAngelos D. Keromytis,2011,http://link.springer.com/chapter/10.1007/978-1-4614-0977-9_3,Chapter
A DVE Time Management Simulation and Verification Platform Based on Causality Consistency Middleware,Intelligent Computing and Information Science,,,,10.1007/978-3-642-18129-0_34,Hangjun ZhouWei ZhangYuxing PengSikun Li,2011,http://link.springer.com/chapter/10.1007/978-3-642-18129-0_34,Chapter
Hybrid Approaches for Distributed Storage Systems,Data Management in Grid and Peer-to-Peer Systems,,,,10.1007/978-3-642-22947-3_1,Julio AraujoFrédéric GiroireJulian Monteiro,2011,http://link.springer.com/chapter/10.1007/978-3-642-22947-3_1,Chapter
Developing Peer-to-Peer Applications with WCF,Pro WCF 4,,,,10.1007/978-1-4302-3369-5_12,Nishith Pathak,2011,http://link.springer.com/chapter/10.1007/978-1-4302-3369-5_12,Chapter
A Taxonomy of Service Engineering Stakeholder Types,Towards a Service-Based Internet,,,,10.1007/978-3-642-24755-2_20,Qing GuMichael ParkinPatricia Lago,2011,http://link.springer.com/chapter/10.1007/978-3-642-24755-2_20,Chapter
Remind Me,Beginning Android Tablet Programming,,,,10.1007/978-1-4302-3784-6_10,Robbie Matthews,2011,http://link.springer.com/chapter/10.1007/978-1-4302-3784-6_10,Chapter
Identification of Potential Requirements of Master Data Management under Cloud Computing,Databases in Networked Information Systems,,,,10.1007/978-3-642-25731-5_3,Shinji Kikuchi,2011,http://link.springer.com/chapter/10.1007/978-3-642-25731-5_3,Chapter
Distributed SIP conference management with autonomously authenticated sources and its application to an H.264 videoconferencing software for mobiles,Multimedia Tools and Applications,,53,2,10.1007/s11042-010-0500-8,Thomas C. SchmidtGabriel HegeMatthias WählischHans L. CyconMark PalkowDetlev Marpe,2011,http://link.springer.com/article/10.1007/s11042-010-0500-8,Article
StoryStream: Unrestricted Mobile Exploration of City Neighbourhoods Enriched by the Oral Presentation of User-Generated Stories,Interactive Storytelling,,,,10.1007/978-3-642-25289-1_25,Tyrone VriesedeFrank Nack,2011,http://link.springer.com/chapter/10.1007/978-3-642-25289-1_25,Chapter
Exploiting mobile contexts for Petri-net to generate a story in cartoons,Applied Intelligence,,34,1,10.1007/s10489-009-0175-x,Young-Seol LeeSung-Bae Cho,2011,http://link.springer.com/article/10.1007/s10489-009-0175-x,Article
Design of Embedded Database Based on Hybrid Storage of PRAM and NAND Flash Memory,Database Systems for Adanced Applications,,,,10.1007/978-3-642-20244-5_25,Youngwoo ParkSung Kyu ParkKyu Ho Park,2011,http://link.springer.com/chapter/10.1007/978-3-642-20244-5_25,Chapter
Fault Attacks on Elliptic Curve Cryptosystems,Fault Analysis in Cryptography,,,,10.1007/978-3-642-29656-7_9,Abdulaziz AlkhoraidlyAgustín Domínguez-OviedoM. Anwar Hasan,2012,http://link.springer.com/chapter/10.1007/978-3-642-29656-7_9,Chapter
Design and Development of an Interactive Virtual Shadow Puppet Play,Arts and Technology,,,,10.1007/978-3-642-33329-3_14,Abdullah Zawawi TalibMohd Azam OsmanKian Lam TanSirot Piman,2012,http://link.springer.com/chapter/10.1007/978-3-642-33329-3_14,Chapter
A multiagent approach to managing air traffic flow,Autonomous Agents and Multi-Agent Systems,,24,1,10.1007/s10458-010-9142-5,Adrian K. AgoginoKagan Tumer,2012,http://link.springer.com/article/10.1007/s10458-010-9142-5,Article
"A smart spaces architecture based on heterogeneous contexts, particularly social contexts",Cluster Computing,,15,4,10.1007/s10586-011-0157-8,Ahmed HasswaHossam Hassanein,2012,http://link.springer.com/article/10.1007/s10586-011-0157-8,Article
Spatial Cues in Hamlet,Intelligent Virtual Agents,,,,10.1007/978-3-642-33197-8_26,Christine TalbotG. Michael Youngblood,2012,http://link.springer.com/chapter/10.1007/978-3-642-33197-8_26,Chapter
Cryptanalysis of an RFID Tag Search Protocol Preserving Privacy of Mobile Reader,Network and Parallel Computing,,,,10.1007/978-3-642-35606-3_68,Eun-Jun Yoon,2012,http://link.springer.com/chapter/10.1007/978-3-642-35606-3_68,Chapter
Tailoring User Visibility and Privacy in a Context-Aware Mobile Social Network,Ubiquitous Computing and Ambient Intelligence,,,,10.1007/978-3-642-35377-2_16,Francisco Manuel Borrego-JarabaGonzalo Cerruela GarcíaIrene Luque RuizMiguel Ángel Gómez-Nieto,2012,http://link.springer.com/chapter/10.1007/978-3-642-35377-2_16,Chapter
A Framework for Service Morphing and Heterogeneous Service Discovery in Smart Environments,Impact Analysis of Solutions for Chronic Disease Prevention and Management,,,,10.1007/978-3-642-30779-9_2,Hen-I YangRyan BabbittJohnny WongCarl K. Chang,2012,http://link.springer.com/chapter/10.1007/978-3-642-30779-9_2,Chapter
Botnets and Cyber Criminals,Dark Web,,,,10.1007/978-1-4614-1557-2_22,Hsinchun Chen,2012,http://link.springer.com/chapter/10.1007/978-1-4614-1557-2_22,Chapter
Incremental Deterministic Public-Key Encryption,Advances in Cryptology – EUROCRYPT 2012,,,,10.1007/978-3-642-29011-4_37,Ilya MironovOmkant PandeyOmer ReingoldGil Segev,2012,http://link.springer.com/chapter/10.1007/978-3-642-29011-4_37,Chapter
Data Services,Pro T-SQL 2012 Programmer’s Guide,,,,10.1007/978-1-4302-4597-1_16,Jay NatarajanRudi BruchezScott ShawMichael Coles,2012,http://link.springer.com/chapter/10.1007/978-1-4302-4597-1_16,Chapter
Planning Children’s Stories Using Agent Models,Knowledge Management and Acquisition for Intelligent Systems,,,,10.1007/978-3-642-32541-0_17,Karen AngEthel Ong,2012,http://link.springer.com/chapter/10.1007/978-3-642-32541-0_17,Chapter
Remote Procedure Calls and the Client/Server Model,Guide to Reliable Distributed Systems,,,,10.1007/978-1-4471-2416-0_6,Kenneth P. Birman,2012,http://link.springer.com/chapter/10.1007/978-1-4471-2416-0_6,Chapter
"SeWDReSS: on the design of an application independent, secure, wide-area disaster recovery storage system",Multimedia Tools and Applications,,58,3,10.1007/s11042-011-0734-0,Lingfang ZengBharadwaj VeeravalliQingsong WeiDan Feng,2012,http://link.springer.com/article/10.1007/s11042-011-0734-0,Article
On the Security of Mutual Authentication Protocols for RFID Systems: The Case of Wei et al.’s Protocol,Data Privacy Management and Autonomous Spontaneus Security,,,,10.1007/978-3-642-28879-1_7,Masoumeh SafkhaniNasour BagheriSomitra Kumar SanadhyaMajid NaderiHamid Behnam,2012,http://link.springer.com/chapter/10.1007/978-3-642-28879-1_7,Chapter
Discussion on the Challenges and Opportunities of Cloud Forensics,Multidisciplinary Research and Practice for Information Systems,,,,10.1007/978-3-642-32498-7_45,Rainer PoiselSimon Tjoa,2012,http://link.springer.com/chapter/10.1007/978-3-642-32498-7_45,Chapter
Friends Radar: Towards a Private P2P Location Sharing Platform,Computer Aided Systems Theory – EUROCAST 2011,,,,10.1007/978-3-642-27579-1_68,Rene MayrhoferClemens HolzmannRomana Koprivec,2012,http://link.springer.com/chapter/10.1007/978-3-642-27579-1_68,Chapter
A Framework for the Development of Mobile Social Software on Android,"Mobile Computing, Applications, and Services",,,,10.1007/978-3-642-32320-1_14,Robert LübkeDaniel SchusterAlexander Schill,2012,http://link.springer.com/chapter/10.1007/978-3-642-32320-1_14,Chapter
An Intelligent Instructional Tool for Puppeteering in Virtual Shadow Puppet Play,Intelligent Technologies for Interactive Entertainment,,,,10.1007/978-3-642-30214-5_13,Sirot PimanAbdullah Zawawi Talib,2012,http://link.springer.com/chapter/10.1007/978-3-642-30214-5_13,Chapter
(More) Side Channels in Cloud Storage,Privacy and Identity Management for Life,,,,10.1007/978-3-642-31668-5_8,Tobias Pulls,2012,http://link.springer.com/chapter/10.1007/978-3-642-31668-5_8,Chapter
Small World VoIP,"Mobile Computing, Applications, and Services",,,,10.1007/978-3-642-29336-8_8,Xiaohui YangAngelos StavrouRam DantuDuminda Wijesekera,2012,http://link.springer.com/chapter/10.1007/978-3-642-29336-8_8,Chapter
Learning by Playing in Agent-Oriented Virtual Learning Environment,Agents for Educational Games and Simulations,,,,10.1007/978-3-642-32326-3_5,Yundong CaiZhiqi Shen,2012,http://link.springer.com/chapter/10.1007/978-3-642-32326-3_5,Chapter
"The Metafora Design Principles for a Collaborative, Interoperable Learning Framework",Collaboration and Technology,,,,10.1007/978-3-642-41347-6_14,Andreas HarrerThomas IrgangAndreas LingnauNorbert SattesKerstin Pfahler,2013,http://link.springer.com/chapter/10.1007/978-3-642-41347-6_14,Chapter
Security in RFID Networks and Communications,Wireless Network Security,,,,10.1007/978-3-642-36511-9_10,Chiu C. TanJie Wu,2013,http://link.springer.com/chapter/10.1007/978-3-642-36511-9_10,Chapter
Policy-Based De-duplication in Secure Cloud Storage,Trustworthy Computing and Services,,,,10.1007/978-3-642-35795-4_32,Chuanyi LiuXiaojian LiuLei Wan,2013,http://link.springer.com/chapter/10.1007/978-3-642-35795-4_32,Chapter
Repair Time in Distributed Storage Systems,"Data Management in Cloud, Grid and P2P Systems",,,,10.1007/978-3-642-40053-7_9,Frédéric GiroireSandeep Kumar GuptaRemigiusz ModrzejewskiJulian MonteiroStéphane Perennes,2013,http://link.springer.com/chapter/10.1007/978-3-642-40053-7_9,Chapter
Construction of Monitoring System of Dangerous and Harmful Species of Import Taiwan Fruits and Vegetables Based on GIS,Computer and Computing Technologies in Agriculture VI,,,,10.1007/978-3-642-36137-1_16,Hong ChenQiyong WengMeixiang ChiRongzhou QiuJian Zhao,2013,http://link.springer.com/chapter/10.1007/978-3-642-36137-1_16,Chapter
A service component based CAT system with SCORM for advanced learning effects,Multimedia Tools and Applications,,63,1,10.1007/s11042-012-1027-y,Hwa-Young JeongBong-Hwa Hong,2013,http://link.springer.com/article/10.1007/s11042-012-1027-y,Article
Accessing Databases,Learn Java for Android Development,,,,10.1007/978-1-4302-5723-3_14,Jeff Friesen,2013,http://link.springer.com/chapter/10.1007/978-1-4302-5723-3_14,Chapter
Modeling and Simulation of Hadoop Distributed File System in a Cluster of Workstations,Model and Data Engineering,,,,10.1007/978-3-642-41366-7_1,Longendri Aguilera-MendozaMonica T. Llorente-Quesada,2013,http://link.springer.com/chapter/10.1007/978-3-642-41366-7_1,Chapter
Message-Locked Encryption for Lock-Dependent Messages,Advances in Cryptology – CRYPTO 2013,,,,10.1007/978-3-642-40041-4_21,Martín AbadiDan BonehIlya MironovAnanth RaghunathanGil Segev,2013,http://link.springer.com/chapter/10.1007/978-3-642-40041-4_21,Chapter
